location,category,itemname,open_qty,qty_in_stock,cost_price,selling_price,totalcost
"MODERN DREAM A","ACCESSORIES","1200X300 RECESS",0,1,500.00,500.00,0.00
"MODERN DREAM A","ACCESSORIES","12W LED CONDUIT HELANA",0,3,70.00,70.00,0.00
"MODERN DREAM A","ACCESSORIES","12WAY SPN SCHNEIDER",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","15W LED SENSOR LIGHT OPTIMIST",0,-2,150.00,150.00,0.00
"MODERN DREAM A","ACCESSORIES","15W SENSER LIGHT SURFACE",0,0,200.00,200.00,0.00
"MODERN DREAM A","ACCESSORIES","16X25 TRUNK",0,4,30.00,30.00,0.00
"MODERN DREAM A","ACCESSORIES","18W 2IN1 CONDUIT NORMAL",0,8,0.00,70.00,0.00
"MODERN DREAM A","ACCESSORIES","18W COND 3IN1(GL) LED MODI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W COND LED V-TAC",0,1,80.00,80.00,0.00
"MODERN DREAM A","ACCESSORIES","18W GLASS PANEL",0,5,45.00,45.00,0.00
"MODERN DREAM A","ACCESSORIES","18W LED  COND GL",0,0,0.00,60.00,0.00
"MODERN DREAM A","ACCESSORIES","18W LED  SUFACE T&M",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W LED 2IN1 CONDUIT NDC",0,109,70.00,70.00,0.00
"MODERN DREAM A","ACCESSORIES","18W LED CHOKE ORIG",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W LED COND LIGHT  ECKO",0,0,50.00,50.00,0.00
"MODERN DREAM A","ACCESSORIES","18W LED PANEL SQ SURFACE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W LED ROHS NORMAL",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W LED SURF TOPMAX",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W LED T80 BULB V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W PLC OSRAM",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W SURF 2IN1 LED STALLONE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W SURF LED GOODMAN",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W SURF LED KINGLUX",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W SURF LED(NORMAL)",0,0,50.00,50.00,0.00
"MODERN DREAM A","ACCESSORIES","18W SURFACE DOWN  BLACK BASE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18W SURFACE LED V-MAX",0,0,100.00,100.00,0.00
"MODERN DREAM A","ACCESSORIES","18W SURFACE PHILIPS",0,1,150.00,150.00,0.00
"MODERN DREAM A","ACCESSORIES","18W T80 LED BULB V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","18WATTS SURFACE S-CLASS",0,0,0.00,60.00,0.00
"MODERN DREAM A","ACCESSORIES","1FEET LED T5  PHILLIPS",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","1FT LED COMPT PHILLIPS 4W",0,2,60.00,60.00,0.00
